,,"Table 6L: VETPOP2018 LIVING VETERANS BY STATE, AGE GROUP, GENDER, 2018-2048",,,,,,,,,,,,,,,,,,,,,
Date,9/30/2018,"Numbers from this table should be reported to the nearest 1,000. ",,,,,,,,,,,,,,,,,,,,,
Gender,Male,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Veterans ,Age Group,,,,,,,,,,,,,,,,,,,,,,
State,< 20 ,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Grand Total,,,,,,,
Pennsylvania,187,"7,480","17,954","26,031","30,099","30,299","43,448","59,938","67,545","65,985","82,923","120,342","77,018","60,327","81,492","771,068",,,,,,,
Rhode Island,15,639,"1,717","2,482","2,533","2,700","3,306","4,663","5,903","5,404","5,410","10,094","5,723","4,209","5,791","60,589",,,,,,,
South Carolina,116,"4,765","11,176","14,778","16,052","17,402","24,561","29,488","34,522","33,400","38,712","57,358","32,443","22,508","23,279","360,558",,,,,,,
South Dakota,23,719,"1,947","2,790","3,177","2,974","4,006","4,993","5,541","5,289","6,328","9,197","4,233","3,874","5,284","60,373",,,,,,,
Tennessee,235,"5,178","13,132","17,680","19,116","19,084","29,108","35,621","40,796","40,852","48,246","60,738","38,897","25,838","29,479","423,999",,,,,,,
Texas,669,"18,302","50,876","76,598","89,767","85,974","113,029","117,448","121,306","130,600","141,488","187,546","110,669","74,884","93,302","1,412,458",,,,,,,
Utah,60,"1,628","4,689","6,757","7,816","7,349","8,410","9,243","10,106","10,276","13,230","16,331","11,704","8,650","11,045","127,295",,,,,,,
Vermont,15,401,"1,010","1,391","1,429","1,598","2,396","3,271","4,369","4,259","4,398","5,736","3,777","2,250","4,036","40,335",,,,,,,
Virginia,254,"7,869","24,662","33,687","38,032","39,073","51,222","58,553","64,580","60,685","59,607","74,341","43,740","34,222","40,528","631,057",,,,,,,
Washington,138,"4,958","16,934","24,778","27,433","26,372","34,766","42,297","46,736","49,500","51,748","75,286","43,250","28,144","36,944","509,284",,,,,,,
West Virginia,26,"1,339","3,153","4,840","5,872","6,418","9,332","10,864","11,071","11,620","17,797","18,852","11,190","7,840","11,971","132,186",,,,,,,
Wisconsin,127,"3,470","8,760","12,684","12,995","12,352","19,452","27,122","29,957","30,653","38,205","56,445","27,500","27,290","32,663","339,676",,,,,,,
Wyoming,19,442,"1,476","1,995","2,379","2,280","2,988","3,484","3,518","3,896","5,692","7,618","4,030","1,688","3,062","44,569",,,,,,,
Puerto Rico,4,575,"1,539","1,762","2,259","2,497","2,735","3,424","5,591","6,565","8,293","10,006","8,918","6,587","11,299","72,055",,,,,,,
Island Areas & Foreign,1,307,"1,570","2,825","3,863","4,479","6,128","8,334","10,194","9,190","9,917","10,303","8,698","5,863","6,350","88,023",,,,,,,
Grand Total,"6,893","206,633","560,256","788,861","881,167","867,984","1,194,004","1,460,955","1,671,657","1,683,939","1,899,316","2,675,710","1,627,898","1,202,966","1,607,303","18,335,543",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
