Report Period,link
2017-12,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2017/Dec/State-County-Penetration-MA-2017-12.zip
2017-11,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2017/Nov/State-County-Penetration-MA-2017-11.zip
2017-10,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2017/Oct/State-County-Penetration-MA-2017-10.zip
2017-09,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2017/Sept/State-County-Penetration-MA-2017-09.zip
2017-08,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2017/Aug/State-County-Penetration-MA-2017-08.zip
2017-07,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2017/July/State-County-Penetration-MA-2017-07.zip
2017-06,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2017/June/State-County-Penetration-MA-2017-06.zip
2017-05,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2017/May/State-County-Penetration-MA-2017-05.zip
2017-04,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2017/Apr/State-County-Penetration-MA-2017-04.zip
2017-03,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2017/Mar/State-County-Penetration-MA-2017-03.zip
2017-02,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2017/Feb/State-County-Penetration-MA-2017-02.zip
2017-01,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2017/Jan/State-County-Penetration-MA-2017-01.zip
2016-12,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2016/Dec/State-County-Penetration-MA-2016-12.zip
2016-11,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2016/Nov/State-County-Penetration-MA-2016-11.zip
2016-10,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2016/Oct/State-County-Penetration-MA-2016-10.zip
2016-09,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2016/Sept/State-County-Penetration-MA-2016-09.zip
2016-08,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2016/August/State-County-Penetration-MA-2016-08.zip
2016-07,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2016/July/State-County-Penetration-MA-2016-07.zip
2016-06,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2016/June/State-County-Penetration-MA-2016-06.zip
2016-05,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2016/May/State-County-Penetration-MA-2016-05.zip
2016-04,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2016/Apr/State-County-Penetration-MA-2016-04.zip
2016-03,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2016/March/State-County-Penetration-MA-2016-03.zip
2016-02,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2016/Feb/State-County-Penetration-MA-2016-02.zip
2016-01,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2016/Jan/State-County-Penetration-MA-2016-01.zip
2015-12,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2015/Dec/State-County-Penetration-MA-2015-12.zip
2015-11,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2015/Nov/State-County-Penetration-MA-2015-11.zip
2015-10,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2015/Oct/State-County-Penetration-MA-2015-10.zip
2015-09,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2015/September/State-County-Penetration-MA-2015-09.zip
2015-08,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2015/Aug/State-County-Penetration-MA-2015-08.zip
2015-07,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2015/Jul/State-County-Penetration-MA-2015-07.zip
2015-06,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2015/Jun/State-County-Penetration-MA-2015-06.zip
2015-05,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2015/May/State-County-Penetration-MA-2015-05.zip
2015-04,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2015/Apr/State-County-Penetration-MA-2015-04.zip
2015-03,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2015/Mar/State-County-Penetration-MA-2015-03.zip
2015-02,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2015/Feb/State-County-Penetration-MA-2015-02.zip
2015-01,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2015/Jan/State-County-Penetration-MA-2015-01.zip
2014-12,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2014/Dec/State-County-Penetration-MA-2014-12.zip
2014-11,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2014/Nov/State-County-Penetration-MA-2014-11.zip
2014-10,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2014/Oct/State-County-Penetration-MA-2014-10.zip
2014-09,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2014/Sept/State-County-Penetration-MA-2014-09.zip
2014-08,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2014/Aug/State-County-Penetration-MA-2014-08.zip
2014-07,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2014/July/State-County-Penetration-MA-2014-07.zip
2014-06,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2014/Jun/State-County-Penetration-MA-2014-06.zip
2014-05,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2014/May/State-County-Penetration-MA-2014-05.zip
2014-04,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2014/Apr/State-County-Penetration-MA-2014-04.zip
2014-03,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2014/Mar/State-County-Penetration-MA-2014-03.zip
2014-02,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2014/Feb/State-County-Penetration-MA-2014-02.zip
2014-01,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2014/Jan/State-County-Penetration-MA-2014-01.zip
2013-12,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2013/Dec/State-County-Penetration-MA-2013-12.zip
2013-11,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2013/Nov/State-County-Penetration-MA-2013-11.zip
2013-10,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2013/Oct/State-County-Penetration-MA-2013-10.zip
2013-09,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2013/Sept/MA-State-County-Penetration-2013-09.zip
2013-08,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2013/August/State-County-Penetration-MA-2013-08.zip
2013-07,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2013/July/State-County-Penetration-MA-2013-07.zip
2013-06,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2013/June/State-County-Penetration-MA-2013-06.zip
2013-05,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2013/May/State-County-Penetration-MA-2013-05.zip
2013-04,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2013/April/State-County-Penetration-MA-2013-04.zip
2013-03,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2013/Mar/State-County-Penetration-MA-2013-03.zip
2013-02,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2013/Feb/State-County-Penetration-MA-2013-02.zip
2013-01,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2013/Jan-2013/State-County-Penetration-MA-2013-01-.zip
2012-12,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/Dec-2012/State-County-Penetration-MA-2012-12.zip
2012-11,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/Nov-2012/State-County-Penetration-MA-2012-11.zip
2012-10,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2012/Oct-2012/State-County-Penetration-MA-2012-10.zip
2012-09,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2012/Sept-2012/State-County-Penetration-MA-2012-09.zip
2012-08,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2012/August-2012/State-County-Penetration-MA-2012-08.zip
2012-07,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/July-2012/State-County-Penetration-MA-2012-07.zip
2012-06,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2012/June-2012/State-County-Penetration-MA-2012-06.zip
2012-05,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2012/May-2012/State-County-Penetration-MA-2012-05.zip
2012-04,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/2012/State-County-Penetration-MA-2012-04.zip
2012-03,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/State_County_Penetration_MA_2012_03.zip
2012-02,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/State_County_Penetration_MA_2012_02.zip
2012-01,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MCRAdvPartDEnrolData/Downloads/State_County_Penetration_MA_2012_01.zip
